,ds,yhat,yhat_lower,yhat_upper
0,2020-04-01,2583.51425841652,2511.082237420271,2654.5823073397178
1,2020-04-02,2583.673330138712,2512.6768989689594,2658.0318667051856
2,2020-04-03,2592.8160572986826,2517.744298904836,2665.6807877810725
3,2020-04-06,2653.283391127045,2585.362862868804,2733.829138783227
4,2020-04-07,2662.475479770692,2589.3760104982603,2734.505684009767
5,2020-04-08,2675.6627984212655,2602.9282152831443,2752.421856240878
6,2020-04-09,2675.8144549670924,2603.9898781024676,2752.5921993669244
7,2020-04-13,2745.394855284755,2675.231150691635,2819.0846665926074
8,2020-04-14,2754.5655493851295,2681.7759270953757,2822.716725844507
9,2020-04-15,2767.7314734946076,2695.429053737565,2835.869854956398
10,2020-04-16,2767.8523264083633,2692.395771293077,2839.8709498510743
11,2020-04-17,2776.9568347581635,2705.838525470804,2852.4122850238928
12,2020-04-20,2814.0346426174237,2740.9336288613513,2888.2354514348085
13,2020-04-21,2815.430222601184,2737.6879305975717,2891.423553821386
14,2020-04-22,2820.8210325906193,2747.0394398296016,2890.723104175572
15,2020-04-23,2813.1810392252873,2741.9021251532117,2886.0478893682084
16,2020-04-24,2814.5247012938444,2745.8485309262715,2888.2577377497864
17,2020-04-27,2851.5948398779515,2780.2801501830586,2922.7418193440826
18,2020-04-28,2852.987863447608,2783.380619201505,2926.351365914211
19,2020-04-29,2858.37611700259,2787.7599359690057,2929.830103915749
20,2020-04-30,2850.7361236152883,2786.0793721076648,2928.3053710876998
21,2020-05-01,2852.079785668915,2781.2721518542508,2922.310069123885
22,2020-05-04,2889.1499241960228,2811.104928469294,2962.721307734634
23,2020-05-05,2890.542947743824,2820.834103692463,2966.9334371813325
24,2020-05-06,2895.931201292499,2826.3319283671863,2970.8830349287878
25,2020-05-07,2888.291207898874,2814.2778883368587,2962.061453624847
26,2020-05-08,2889.6348699994023,2816.4668360604214,2963.227034115343
27,2020-05-11,2926.7050086831628,2853.53678700158,2999.068192999729
28,2020-05-12,2928.103386629903,2862.4868519293063,3000.521884300148
29,2020-05-13,2933.49699457964,2865.7930016458986,3004.3143087016556
30,2020-05-14,2925.8623555869835,2849.1517546273367,2998.393558834645
31,2020-05-15,2928.1793127238743,2850.5531260792427,2999.914863330173
32,2020-05-18,2968.1693365203373,2895.1854075908627,3034.039683611652
33,2020-05-19,2970.5410623080516,2898.9472671552526,3044.4019056720877
34,2020-05-20,2976.9080180916953,2900.707709343241,3049.951933823287
35,2020-05-21,2970.2467702222157,2899.484316096297,3038.363835172235
36,2020-05-22,2972.569177781342,2894.5956830378427,3041.9139622199086
37,2020-05-26,3014.947321961353,2941.9746761919073,3091.2110793782795
38,2020-05-27,3021.3143210383014,2946.112665163142,3089.9304757318305
39,2020-05-28,3014.653073171918,2938.2235419553253,3083.5058325582877
40,2020-05-29,3016.9754807416057,2942.4637600448086,3088.153574727021
41,2020-06-01,3056.9818558163715,2985.8497808670018,3126.2742744741176
42,2020-06-02,3059.3418333378368,2987.357568481483,3126.415499945211
43,2020-06-03,3065.697040865397,2995.5230594820255,3145.3442381826503
44,2020-06-04,3059.013085422662,2986.980033667758,3125.9500235026826
45,2020-06-05,3061.3127854215427,2985.0221363732335,3135.7527930300503
46,2020-06-08,3101.2510377867684,3026.098782755652,3173.0383485887355
47,2020-06-09,3099.201986457996,3030.633643620042,3169.4076414457363
48,2020-06-10,3101.1481651289937,3021.53230625581,3176.2178566731636
49,2020-06-11,3090.061309320401,3020.755888978466,3165.003224920992
50,2020-06-12,3087.958108948691,3016.4447963759544,3162.2161194532264
51,2020-06-15,3114.6876601930057,3039.167513902568,3186.089452700214
52,2020-06-16,3112.6338213118997,3040.913408016401,3185.5628810194735
53,2020-06-17,3114.575212444468,3044.7489006843816,3187.675369489888
54,2020-06-18,3103.488356637916,3037.319905168927,3173.591106143686
55,2020-06-19,3101.3851562660666,3031.316861530657,3178.4551888018636
56,2020-06-22,3128.1147076116567,3062.10860314124,3204.9740535803294
57,2020-06-23,3126.06086876173,3053.9182711977855,3197.7874115421873
58,2020-06-24,3128.0086378858487,3057.638967158502,3200.26780085277
59,2020-06-25,3116.928160065053,3042.8228009533386,3190.715024881801
60,2020-06-26,3114.8313376823085,3042.348211743076,3187.4999537334234
61,2020-06-29,3141.580022934604,3074.9119259712206,3212.1774852382946
62,2020-06-30,3139.5325620493536,3065.610459935113,3206.6079920143384
63,2020-07-01,3141.480331173018,3067.2723278495705,3211.353968114832
64,2020-07-02,3130.399853353357,3059.372116651017,3204.061574622937
65,2020-07-06,3155.0517162127335,3080.7076815272553,3226.464922808945
66,2020-07-07,3153.0042553353815,3079.342167164019,3224.220065283114
67,2020-07-08,3154.9520244601927,3079.4156550154185,3226.3740202031645
68,2020-07-09,3143.8715466400263,3071.770510402522,3208.6116354522765
69,2020-07-10,3141.77472425394,3070.2300887234574,3213.417908553649
70,2020-07-13,3168.523409502709,3093.18781890866,3242.165028835201
71,2020-07-14,3166.475948623005,3093.7624935961117,3238.774060731594
72,2020-07-15,3168.423717747346,3095.1144485609775,3237.2229398374357
73,2020-07-16,3157.3432399299663,3085.19942345457,3229.2677606674706
74,2020-07-17,3155.246417550111,3085.72638013314,3228.3338634423917
75,2020-07-18,-841.723821724022,-916.463440802854,-773.7278379235241
76,2020-07-19,-839.8005911364692,-915.0966274564544,-771.5309824319934
77,2020-07-20,3181.9951027897873,3110.2277176046214,3252.4286615008596
78,2020-07-21,3179.947641909033,3106.6666849757403,3254.335460811629
79,2020-07-22,3181.8954110345603,3105.8927981285983,3256.19692087558
80,2020-07-23,3170.814933216635,3099.6976650687484,3241.006084713212
81,2020-07-24,3168.718110834465,3095.301660665894,3244.0593006611066
82,2020-07-25,-828.2521284417253,-899.5261794870909,-761.0489069030167
83,2020-07-26,-826.3288978480598,-899.9633420203156,-755.7289454789075
84,2020-07-27,3195.466796082659,3121.1185333851095,3266.3995654240507
85,2020-07-28,3193.4193351977274,3118.095225291799,3266.9420672990536
86,2020-07-29,3195.3671043216905,3124.510237179539,3268.736051929576
87,2020-07-30,3184.2866265033035,3112.543506369447,3250.5552474126152
